Country, Survey, Type, Phase, Manual, Data, GPS, Bio, SPA
Burkina Faso,  1998-99, Standard DHS, DHS-III, DHS-III, Burkina-Faso_Standard-DHS_1999.cfm, Burkina-Faso_Standard-DHS_1999.cfm, Not Collected, Not Applicable
Burkina Faso,  1993, Standard DHS, DHS-II, DHS-II, Burkina-Faso_Standard-DHS_1993.cfm, Burkina-Faso_Standard-DHS_1993.cfm, Not Collected, Not Applicable
Burundi,  2012, MIS, DHS-VI, DHS-VI, Burundi_MIS_2012.cfm, Burundi_MIS_2012.cfm, Not Collected, Not Applicable
Burundi,  2010, Standard DHS, DHS-VI, DHS-VI, Burundi_Standard-DHS_2010.cfm, Burundi_Standard-DHS_2010.cfm, Burundi_Standard-DHS_2010.cfm, Not Applicable
Burundi,  1987, Standard DHS, DHS-I, DHS-I, Burundi_Standard-DHS_1987.cfm, Not Collected, Not Collected, Not Applicable
Cambodia,  2014, Standard DHS, DHS-VII, DHS-VI, Cambodia_Standard-DHS_2014.cfm, Not Yet Available, Not Collected, Not Applicable
Cambodia,  2010, Standard DHS, DHS-VI, DHS-V, Cambodia_Standard-DHS_2010.cfm, Cambodia_Standard-DHS_2010.cfm, Not Collected, Not Applicable
Cambodia,  2005, Standard DHS, DHS-V, DHS-V, Cambodia_Standard-DHS_2005.cfm, Cambodia_Standard-DHS_2005.cfm, Cambodia_Standard-DHS_2005.cfm, Not Applicable
Cambodia,  2000, Standard DHS, DHS-IV, DHS-IV, Cambodia_Standard-DHS_2000.cfm, Cambodia_Standard-DHS_2000.cfm, Not Collected, Not Applicable
Cambodia,  1998, Special, DHS-III, --, Cambodia_Special_1998.cfm, Not Collected, Not Collected, Not Applicable
Cameroon,  2011, Standard DHS, DHS-VI, DHS-VI, Cameroon_Standard-DHS_2011.cfm, Cameroon_Standard-DHS_2011.cfm, Cameroon_Standard-DHS_2011.cfm, Not Applicable
Cameroon,  2004, Standard DHS, DHS-IV, DHS-IV, Cameroon_Standard-DHS_2004.cfm, Cameroon_Standard-DHS_2004.cfm, Cameroon_Standard-DHS_2004.cfm, Not Applicable
Cameroon,  1998, Standard DHS, DHS-III, DHS-III, Cameroon_Standard-DHS_1998.cfm, Not Distributed, Not Collected, Not Applicable
Cameroon,  1991, Standard DHS, DHS-II, DHS-II, Cameroon_Standard-DHS_1991.cfm, Cameroon_Standard-DHS_1991.cfm, Not Collected, Not Applicable
Cape Verde,  2005, Standard DHS, DHS-IV, --, Not Distributed, Not Distributed, Not Distributed, Not Applicable
