Country, Survey, Tag, Type, Phase, Manual, Births, Children, Couples, GPS, HIV, Household, Members, Men, Women
Guinea, 2012, Guinea_VI.DHS.VI, Standard DHS, DHS-VI, DHS-VI, gnbr61, gnkr61, gncr61, gnge61, , gnhr61, gnpr61, gnmr61, gnir61
Guyana, 2005, Guyana_V.AIS.V, Standard AIS, DHS-V, DHS-V, gybr51, gykr51, , , , gyhr51, gypr51, , gyir51
Guyana, 2009, Guyana_V.DHS.V, Standard DHS, DHS-V, DHS-V, gybr5i, gykr5i, gycr5i, gyge5j, , gyhr5i, gypr5i, gymr5i, gyir5i
Haiti, 1994-95, Haiti_III.DHS.III, Standard DHS, DHS-III, DHS-III, htbr31, htkr31, htcr31, , , hthr31, htpr31, htmr31, htir31
Haiti, 2000, Haiti_IV.DHS.IV, Standard DHS, DHS-IV, DHS-IV, htbr42, htkr42, htcr42, htge42, , hthr42, htpr42, htmr42, htir42
Haiti, 2005-06, Haiti_V.DHS.V, Standard DHS, DHS-V, DHS-V, htbr52, htkr52, htcr52, htge52, , hthr52, htpr52, htmr52, htir52
Haiti, 2012, Haiti_VI.DHS.VI, Standard DHS, DHS-VI, DHS-VI, htbr61, htkr61, htcr61, htge61, , hthr61, htpr61, htmr61, htir61
Honduras, 2005-06, Honduras_V.DHS.V, Standard DHS, DHS-V, DHS-V, hnbr52, hnkr52, , , , hnhr52, hnpr52, , hnir52
Honduras, 2011-12, Honduras_VI.DHS.VI, Standard DHS, DHS-VI, DHS-VI, hnbr62, hnkr62, , hnge61, , hnhr62, hnpr62, hnmr62, hnir62
Indonesia, 1987, Indonesia_I.DHS.I, Standard DHS, DHS-I, DHS-I, idbr01, idkr01, , , , idhh01, , , idir01
Indonesia, 1991, Indonesia_II.DHS.II, Standard DHS, DHS-II, DHS-II, idbr21, idkr21, , , , idhr21, idpr21, , idir21
Indonesia, 1994, Indonesia_IIIb.DHS.III, Standard DHS, DHS-III, DHS-III, idbr31, idkr31, , , , idhr31, idpr31, , idir31
Indonesia, 1997, Indonesia_IIIa.DHS.III, Standard DHS, DHS-III, DHS-III, idbr3a, idkr3a, , , , idhr3a, idpr3a, , idir3a
Indonesia, 2002-03, Indonesia_IV.DHS.IV, Standard DHS, DHS-IV, DHS-IV, idbr42, idkr42, idcr42, idge43, , idhr42, idpr42, idmr42, idir42
Indonesia, 2007, Indonesia_V.DHS.V, Standard DHS, DHS-V, DHS-V, idbr51, idkr51, idcr51, , , idhr51, idpr52, idmr51, idir51
Indonesia, 2012, Indonesia_VI.DHS.VI, Standard DHS, DHS-VI, DHS-VI, idbr63, idkr63, idcr63, , , idhr63, idpr63, idmr63, idir63
Ivory Coast, 1994, Ivory_Coast_IIIb.DHS.III, Standard DHS, DHS-III, DHS-III, cibr35, cikr35, cicr35, cige33, , cihr35, cipr35, cimr33, ciir35
Ivory Coast, 1998-99, Ivory_Coast_IIIa.DHS.III, Standard DHS, DHS-III, DHS-III, cibr3a, cikr3a, cicr3a, cige3b, , cihr3a, cipr3a, cimr3a, ciir3a
Ivory Coast, 2005, Ivory_Coast_V.AIS.V, Standard AIS, DHS-V, DHS-V, cibr50, cikr50, , , , cihr50, cipr50, , ciir50
Ivory Coast, 2011-12, Ivory_Coast_VI.DHS.VI, Standard DHS, DHS-VI, DHS-VI, cibr61, cikr61, cicr61, cige61, , cihr61, cipr61, cimr61, ciir61
Jordan, 1990, Jordan_II.DHS.II, Standard DHS, DHS-II, DHS-II, jobr21, jokr21, , , , johr21, jopr21, , joir21
Jordan, 1997, Jordan_III.DHS.III, Standard DHS, DHS-III, DHS-III, jobr31, jokr31, , , , johr31, jopr31, , joir31
Jordan, 2002, Jordan_IV.DHS.IV, Standard DHS, DHS-IV, DHS-IV, jobr42, jokr42, , joge43, , johr42, jopr42, , joir42
Jordan, 2007, Jordan_V.DHS.V, Standard DHS, DHS-V, DHS-V, jobr51, jokr51, , joge52, , johr51, jopr51, , joir51
Jordan, 2012, Jordan_VI.DHS.VI, Standard DHS, DHS-VI, DHS-VI, jobr6c, jokr6c, , joge6a, , johr6c, jopr6c, , joir6c
Kazakhstan, 1995, Kazakhstan_III.DHS.III, Standard DHS, DHS-III, DHS-III, kkbr31, kkkr31, , , , kkhr31, kkpr31, , kkir31
Kazakhstan, 1999, Kazakhstan_IV.DHS.III, Standard DHS, DHS-IV, DHS-III, kkbr42, kkkr42, kkcr42, , , kkhr42, kkpr42, kkmr41, kkir42
Kenya, 1989, Kenya_I.DHS.I, Standard DHS, DHS-I, DHS-I, kebr03, kekr01, , , , kehh01, , , keir03
Kenya, 1993, Kenya_III.DHS.II, Standard DHS, DHS-III, DHS-II, kebr33, kekr31, kecr32, , , kehr33, kepr33, kemr32, keir33
Kenya, 1998, Kenya_III.DHS.III, Standard DHS, DHS-III, DHS-III, kebr3a, kekr3a, kecr3a, , , kehr3a, kepr3a, kemr3a, keir3a
Kenya, 2003, Kenya_IV.DHS.IV, Standard DHS, DHS-IV, DHS-IV, kebr42, kekr42, kecr42, kege43, , kehr42, kepr42, kemr42, keir42
Kenya, 2008-09, Kenya_V.DHS.V, Standard DHS, DHS-V, DHS-V, kebr52, kekr52, kecr52, kege52, , kehr52, kepr52, kemr52, keir52
Kenya, 2014, Kenya_VII.DHS.VI, Standard DHS, DHS-VII, DHS-VI, kebr70, kekr70, kecr70, kege71, , kehr70, kepr70, kemr70, keir70
Kyrgyzstan, 1997, Kyrgyzstan_III.DHS.III, Standard DHS, DHS-III, DHS-III, kybr31, kykr31, , , , kyhr31, kypr31, , kyir31
Kyrgyzstan, 2012, Kyrgyzstan_VI.DHS.VI, Standard DHS, DHS-VI, DHS-VI, kybr61, kykr61, kycr61, kyge61, , kyhr61, kypr61, kymr61, kyir61
Lesotho, 2004, Lesotho_IV.DHS.IV, Standard DHS, DHS-IV, DHS-IV, lsbr41, lskr41, lscr41, lsge42, , lshr41, lspr41, lsmr41, lsir41
Lesotho, 2009, Lesotho_VI.DHS.V, Standard DHS, DHS-VI, DHS-V, lsbr61, lskr61, lscr61, lsge62, , lshr61, lspr61, lsmr61, lsir61
Lesotho, 2014, Lesotho_VII.DHS.VI, Standard DHS, DHS-VII, DHS-VI, lsbr71, lskr71, lscr71, lsge71, , lshr71, lspr71, lsmr71, lsir71
Liberia, 1986, Liberia_I.DHS.I, Standard DHS, DHS-I, DHS-I, lbbr01, lbkr01, , lbge03, , lbhh01, , , lbir01
Liberia, 2007, Liberia_V.DHS.V, Standard DHS, DHS-V, DHS-V, lbbr51, lbkr51, lbcr51, lbge52, , lbhr51, lbpr51, lbmr51, lbir51
Liberia, 2013, Liberia_VI.DHS.VI, Standard DHS, DHS-VI, DHS-VI, lbbr6a, lbkr6a, lbcr6a, lbge6a, , lbhr6a, lbpr6a, lbmr6a, lbir6a
Madagascar, 1992, Madagascar_II.DHS.II, Standard DHS, DHS-II, DHS-II, mdbr21, mdkr21, , , , mdhr21, mdpr21, , mdir21
Madagascar, 1997, Madagascar_III.DHS.III, Standard DHS, DHS-III, DHS-III, mdbr31, mdkr31, , mdge32, , mdhr31, mdpr31, , mdir31
Madagascar, 2003-04, Madagascar_IV.DHS.IV, Standard DHS, DHS-IV, DHS-IV, mdbr41, mdkr41, mdcr41, , , mdhr41, mdpr41, mdmr41, mdir41
Madagascar, 2008-09, Madagascar_V.DHS.V, Standard DHS, DHS-V, DHS-V, mdbr51, mdkr51, mdcr51, mdge53, , mdhr51, mdpr51, mdmr51, mdir51
Malawi, 1992, Malawi_II.DHS.II, Standard DHS, DHS-II, DHS-II, mwbr22, mwkr21, mwcr21, , , mwhr22, mwpr22, mwmr21, mwir22
Malawi, 2000, Malawi_IVb.DHS.IV, Standard DHS, DHS-IV, DHS-IV, mwbr41, mwkr41, mwcr41, mwge43, , mwhr41, mwpr41, mwmr41, mwir41
Malawi, 2004, Malawi_IVa.DHS.IV, Standard DHS, DHS-IV, DHS-IV, mwbr4d, mwkr4d, mwcr4d, mwge4b, , mwhr4d, mwpr4d, mwmr4d, mwir4d
Malawi, 2010, Malawi_VI.DHS.V, Standard DHS, DHS-VI, DHS-V, mwbr61, mwkr61, mwcr61, mwge62, , mwhr61, mwpr61, mwmr61, mwir61
Malawi, 2015-16, Malawi_VII.DHS.VII, Standard DHS, DHS-VII, DHS-VII, mwbr7h, mwkr7h, mwcr7h, mwge7a, , mwhr7h, mwpr7h, mwmr7h, mwir7h
Maldives, 2009, Maldives_V.DHS.V, Standard DHS, DHS-V, DHS-V, mvbr51, mvkr51, mvcr51, , , mvhr51, mvpr51, mvmr51, mvir51
Mali, 1987, Mali_I.DHS.I, Standard DHS, DHS-I, DHS-I, mlbr01, mlkr01, , , , mlhh01, , mlml01, mlir01
Mali, 1995-96, Mali_III.DHS.III, Standard DHS, DHS-III, DHS-III, mlbr32, mlkr31, mlcr31, mlge33, , mlhr32, mlpr32, mlmr31, mlir32
Mali, 2001, Mali_IV.DHS.IV, Standard DHS, DHS-IV, DHS-IV, mlbr41, mlkr41, mlcr41, mlge42, , mlhr41, mlpr41, mlmr41, mlir41
Mali, 2006, Mali_V.DHS.V, Standard DHS, DHS-V, DHS-V, mlbr53, mlkr53, mlcr53, mlge52, , mlhr53, mlpr53, mlmr53, mlir53
Mali, 2012-13, Mali_VI.DHS.VI, Standard DHS, DHS-VI, DHS-VI, mlbr6h, mlkr6h, mlcr6h, mlge6a, , mlhr6h, mlpr6h, mlmr6h, mlir6h
Mexico, 1987, Mexico_I.DHS.I, Standard DHS, DHS-I, DHS-I, mxbr01, mxkr01, , , , mxhh02, , , mxir01
Moldova, 2005, Moldova_V.DHS.IV, Standard DHS, DHS-V, DHS-IV, mbbr53, mbkr53, mbcr52, mbge52, , mbhr53, mbpr53, mbmr52, mbir53
Morocco, 1987, Morocco_I.DHS.I, Standard DHS, DHS-I, DHS-I, mabr01, makr01, , , , mahh01, , , mair01
Morocco, 1992, Morocco_II.DHS.II, Standard DHS, DHS-II, DHS-II, mabr21, makr21, , , , mahr21, mapr21, , mair21
Morocco, 2003-04, Morocco_IV.DHS.IV, Standard DHS, DHS-IV, DHS-IV, mabr43, makr43, , mage43, , mahr43, mapr43, , mair43
Mozambique, 1997, Mozambique_III.DHS.III, Standard DHS, DHS-III, DHS-III, mzbr31, mzkr31, mzcr31, , , mzhr31, mzpr31, mzmr31, mzir31
Mozambique, 2003, Mozambique_IV.DHS.IV, Standard DHS, DHS-IV, DHS-IV, mzbr41, mzkr41, mzcr41, , , mzhr41, mzpr41, mzmr41, mzir41
Mozambique, 2009, Mozambique_V.AIS.V, Standard AIS, DHS-V, DHS-V, , , , mzge52, , mzhr51, mzpr51, , mzir51
Mozambique, 2011, Mozambique_VI.DHS.VI, Standard DHS, DHS-VI, DHS-VI, mzbr62, mzkr62, mzcr62, mzge61, , mzhr62, mzpr62, mzmr62, mzir62
Namibia, 1992, Namibia_II.DHS.II, Standard DHS, DHS-II, DHS-II, nmbr21, nmkr21, , , , nmhr21, nmpr21, , nmir21
Namibia, 2000, Namibia_IV.DHS.IV, Standard DHS, DHS-IV, DHS-IV, nmbr41, nmkr41, nmcr41, nmge42, , nmhr41, nmpr41, nmmr41, nmir41
Namibia, 2006-07, Namibia_V.DHS.V, Standard DHS, DHS-V, DHS-V, nmbr51, nmkr51, nmcr51, nmge53, , nmhr51, nmpr52, nmmr51, nmir51
